<a href="http://www.actgate.com/pipe.html" target="_blank" ><img src="http://quickmap.lroc.asu.edu/img/pipe_logo_40.jpg" /></a>

<br /><br />

position,GLD100,lon,lat
      0.00000,    126.00000,     21.47681,    -13.26820
      0.58403,    162.00000,     21.49659,    -13.26890
      1.16805,    176.00000,     21.51636,    -13.26960
      1.75208,    145.00000,     21.53614,    -13.27030
      2.33610,    122.00000,     21.55591,    -13.27100
      2.92013,    130.00000,     21.57569,    -13.27169
      3.50415,    147.00000,     21.59546,    -13.27238
      4.08818,    166.00000,     21.61524,    -13.27308
      4.67220,    191.00000,     21.63501,    -13.27377
      5.25623,    213.00000,     21.65479,    -13.27446
      5.84025,    222.00000,     21.67457,    -13.27514
      6.42428,    251.00000,     21.69434,    -13.27583
      7.00831,    284.00000,     21.71412,    -13.27651
      7.59233,    379.00000,     21.73390,    -13.27719
      8.17636,    429.00000,     21.75367,    -13.27788
      8.76038,    467.00000,     21.77345,    -13.27856
      9.34441,    514.00000,     21.79323,    -13.27923
      9.92843,    587.00000,     21.81300,    -13.27991
     10.51246,    563.00000,     21.83278,    -13.28059
     11.09648,    497.00000,     21.85256,    -13.28126
     11.68051,    461.00000,     21.87233,    -13.28193
     12.26454,    475.00000,     21.89211,    -13.28260
     12.84856,    483.00000,     21.91189,    -13.28327
     13.43259,    497.00000,     21.93167,    -13.28394
     14.01661,    489.00000,     21.95144,    -13.28460
     14.60064,    482.00000,     21.97122,    -13.28527
     15.18466,    477.00000,     21.99100,    -13.28593
     15.76869,    500.00000,     22.01078,    -13.28659
     16.35271,    539.00000,     22.03055,    -13.28725
     16.93674,    593.00000,     22.05033,    -13.28791
     17.52076,    734.00000,     22.07011,    -13.28857
     18.10479,    892.00000,     22.08989,    -13.28922
     18.68882,    962.00000,     22.10967,    -13.28987
     19.27284,   1042.00000,     22.12945,    -13.29053
     19.85687,   1122.00000,     22.14923,    -13.29118
     20.44089,   1165.00000,     22.16900,    -13.29183
     21.02492,   1195.00000,     22.18878,    -13.29247
     21.60894,   1266.00000,     22.20856,    -13.29312
     22.19297,   1340.00000,     22.22834,    -13.29376
     22.77699,   1395.00000,     22.24812,    -13.29441
     23.36102,   1451.00000,     22.26790,    -13.29505
     23.94505,   1409.00000,     22.28768,    -13.29569
     24.52907,   1138.00000,     22.30746,    -13.29633
     25.11310,   1131.00000,     22.32724,    -13.29696
     25.69712,   1286.00000,     22.34702,    -13.29760
     26.28115,   1443.00000,     22.36680,    -13.29823
     26.86517,   1453.00000,     22.38658,    -13.29887
     27.44920,   1453.00000,     22.40636,    -13.29950
     28.03322,   1336.00000,     22.42614,    -13.30013
     28.61725,   1193.00000,     22.44592,    -13.30075
     29.20127,    589.00000,     22.46570,    -13.30138
     29.78530,    392.00000,     22.48548,    -13.30200
     30.36933,    225.00000,     22.50526,    -13.30263
     30.95335,     92.00000,     22.52504,    -13.30325
     31.53738,     -1.00000,     22.54482,    -13.30387
     32.12140,    -57.00000,     22.56460,    -13.30449
     32.70543,   -105.00000,     22.58438,    -13.30510
     33.28945,   -178.00000,     22.60416,    -13.30572
     33.87348,   -198.00000,     22.62395,    -13.30633
     34.45750,   -255.00000,     22.64373,    -13.30695
     35.04153,   -198.00000,     22.66351,    -13.30756
     35.62555,   -188.00000,     22.68329,    -13.30817
     36.20958,   -197.00000,     22.70307,    -13.30877
     36.79361,   -387.00000,     22.72285,    -13.30938
     37.37763,   -508.00000,     22.74263,    -13.30998
     37.96166,   -567.00000,     22.76242,    -13.31059
     38.54568,   -573.00000,     22.78220,    -13.31119
     39.12971,   -571.00000,     22.80198,    -13.31179
     39.71373,   -554.00000,     22.82176,    -13.31239
     40.29776,   -608.00000,     22.84154,    -13.31299
     40.88178,   -689.00000,     22.86133,    -13.31358
     41.46581,   -790.00000,     22.88111,    -13.31417
     42.04984,   -899.00000,     22.90089,    -13.31477
     42.63386,  -1017.00000,     22.92067,    -13.31536
     43.21789,  -1113.00000,     22.94046,    -13.31595
     43.80191,  -1140.00000,     22.96024,    -13.31654
     44.38594,  -1105.00000,     22.98002,    -13.31712
     44.96996,  -1138.00000,     22.99981,    -13.31771
     45.55399,  -1161.00000,     23.01959,    -13.31829
     46.13801,  -1161.00000,     23.03937,    -13.31887
     46.72204,  -1157.00000,     23.05916,    -13.31945
     47.30606,  -1201.00000,     23.07894,    -13.32003
     47.89009,  -1324.00000,     23.09872,    -13.32061
     48.47412,  -1391.00000,     23.11851,    -13.32118
     49.05814,  -1454.00000,     23.13829,    -13.32176
     49.64217,  -1511.00000,     23.15807,    -13.32233
     50.22619,  -1579.00000,     23.17786,    -13.32290
     50.81022,  -1623.00000,     23.19764,    -13.32347
     51.39424,  -1787.00000,     23.21743,    -13.32404
     51.97827,  -1841.00000,     23.23721,    -13.32460
     52.56229,  -1617.00000,     23.25699,    -13.32517
     53.14632,  -1573.00000,     23.27678,    -13.32573
     53.73034,  -1559.00000,     23.29656,    -13.32629
     54.31437,  -1551.00000,     23.31635,    -13.32686
     54.89840,  -1528.00000,     23.33613,    -13.32741
     55.48242,  -1597.00000,     23.35592,    -13.32797
     56.06645,  -1621.00000,     23.37570,    -13.32853
     56.65047,  -1627.00000,     23.39549,    -13.32908
     57.23450,  -1627.00000,     23.41527,    -13.32963
     57.81852,  -1626.00000,     23.43506,    -13.33018
     58.40255,  -1632.00000,     23.45484,    -13.33073
     58.98657,  -1636.00000,     23.47463,    -13.33128
     59.57060,  -1639.00000,     23.49441,    -13.33183
     60.15463,  -1671.00000,     23.51420,    -13.33237
     60.73865,  -1734.00000,     23.53398,    -13.33292
     61.32268,  -1737.00000,     23.55377,    -13.33346
     61.90670,  -1757.00000,     23.57355,    -13.33400
     62.49073,  -1759.00000,     23.59334,    -13.33454
     63.07475,  -1744.00000,     23.61313,    -13.33508
     63.65878,  -1744.00000,     23.63291,    -13.33561
     64.24280,  -1732.00000,     23.65270,    -13.33615
     64.82683,  -1699.00000,     23.67248,    -13.33668
     65.41085,  -1673.00000,     23.69227,    -13.33721
     65.99488,  -1605.00000,     23.71206,    -13.33774
     66.57891,  -1533.00000,     23.73184,    -13.33827
     67.16293,  -1502.00000,     23.75163,    -13.33879
     67.74696,  -1475.00000,     23.77142,    -13.33932
     68.33098,  -1450.00000,     23.79120,    -13.33984
     68.91501,  -1447.00000,     23.81099,    -13.34037
     69.49903,  -1475.00000,     23.83078,    -13.34089
     70.08306,  -1503.00000,     23.85056,    -13.34141
     70.66708,  -1465.00000,     23.87035,    -13.34192
     71.25111,  -1414.00000,     23.89014,    -13.34244
     71.83514,  -1408.00000,     23.90993,    -13.34295
     72.41916,  -1407.00000,     23.92971,    -13.34346
     73.00319,  -1414.00000,     23.94950,    -13.34398
     73.58721,  -1417.00000,     23.96929,    -13.34449
     74.17124,  -1316.00000,     23.98907,    -13.34499
     74.75526,  -1235.00000,     24.00886,    -13.34550
     75.33929,  -1165.00000,     24.02865,    -13.34601
     75.92331,  -1116.00000,     24.04844,    -13.34651
     76.50734,   -931.00000,     24.06823,    -13.34701
     77.09136,   -739.00000,     24.08801,    -13.34751
     77.67539,   -308.00000,     24.10780,    -13.34801
     78.25942,   -131.00000,     24.12759,    -13.34851
     78.84344,      1.00000,     24.14738,    -13.34900
     79.42747,     95.00000,     24.16717,    -13.34950
     80.01149,    145.00000,     24.18695,    -13.34999
     80.59552,    129.00000,     24.20674,    -13.35048
     81.17954,   -261.00000,     24.22653,    -13.35097
     81.76357,   -390.00000,     24.24632,    -13.35146
     82.34759,   -506.00000,     24.26611,    -13.35195
     82.93162,   -621.00000,     24.28590,    -13.35243
     83.51564,   -732.00000,     24.30569,    -13.35292
     84.09967,   -823.00000,     24.32547,    -13.35340
     84.68370,   -870.00000,     24.34526,    -13.35388
     85.26772,   -718.00000,     24.36505,    -13.35436
     85.85175,   -584.00000,     24.38484,    -13.35483
     86.43577,   -421.00000,     24.40463,    -13.35531
     87.01980,   -421.00000,     24.42442,    -13.35579
     87.60382,   -448.00000,     24.44421,    -13.35626
     88.18785,   -492.00000,     24.46400,    -13.35673
     88.77187,   -558.00000,     24.48379,    -13.35720
     89.35590,   -585.00000,     24.50358,    -13.35767
     89.93993,   -626.00000,     24.52337,    -13.35813
     90.52395,   -655.00000,     24.54316,    -13.35860
     91.10798,   -634.00000,     24.56295,    -13.35906
     91.69200,   -571.00000,     24.58274,    -13.35952
     92.27603,   -532.00000,     24.60253,    -13.35999
     92.86005,   -589.00000,     24.62232,    -13.36044
     93.44408,   -615.00000,     24.64211,    -13.36090
     94.02810,   -669.00000,     24.66190,    -13.36136
     94.61213,   -727.00000,     24.68169,    -13.36181
     95.19615,   -760.00000,     24.70148,    -13.36227
     95.78018,   -770.00000,     24.72127,    -13.36272
     96.36421,   -756.00000,     24.74106,    -13.36317
     96.94823,   -689.00000,     24.76085,    -13.36362
     97.53226,   -689.00000,     24.78064,    -13.36406
     98.11628,   -681.00000,     24.80043,    -13.36451
     98.70031,   -698.00000,     24.82022,    -13.36495
     99.28433,   -715.00000,     24.84001,    -13.36539
     99.86836,   -714.00000,     24.85980,    -13.36583
    100.45238,   -727.00000,     24.87959,    -13.36627
    101.03641,   -724.00000,     24.89939,    -13.36671
    101.62044,   -724.00000,     24.91918,    -13.36715
    102.20446,   -719.00000,     24.93897,    -13.36758
    102.78849,   -707.00000,     24.95876,    -13.36801
    103.37251,   -711.00000,     24.97855,    -13.36844
    103.95654,   -881.00000,     24.99834,    -13.36887
    104.54056,  -1012.00000,     25.01813,    -13.36930
    105.12459,  -1139.00000,     25.03793,    -13.36973
    105.70861,  -1252.00000,     25.05772,    -13.37015
    106.29264,  -1330.00000,     25.07751,    -13.37058
    106.87666,  -1395.44763,     25.09730,    -13.37100
    107.46069,  -1383.50464,     25.11709,    -13.37142
    108.04472,  -1315.52795,     25.13688,    -13.37184
    108.62874,  -1246.17041,     25.15668,    -13.37226
    109.21277,  -1187.59583,     25.17647,    -13.37267
    109.79679,  -1131.63379,     25.19626,    -13.37309
    110.38082,  -1105.99426,     25.21605,    -13.37350
    110.96484,  -1110.48352,     25.23584,    -13.37391
    111.54887,  -1129.92102,     25.25564,    -13.37432
    112.13289,  -1162.23584,     25.27543,    -13.37473
    112.71692,  -1130.96313,     25.29522,    -13.37514
    113.30094,  -1076.40234,     25.31501,    -13.37554
    113.88497,   -991.66577,     25.33481,    -13.37595
    114.46900,   -876.34540,     25.35460,    -13.37635
    115.05302,   -752.00000,     25.37439,    -13.37675
    115.63705,   -693.00000,     25.39419,    -13.37715
    116.22107,   -665.00000,     25.41398,    -13.37755
    116.80510,   -661.00000,     25.43377,    -13.37794
    117.38912,   -610.00000,     25.45356,    -13.37834
    117.97315,   -525.00000,     25.47336,    -13.37873
    118.55717,   -431.00000,     25.49315,    -13.37912
    119.14120,   -366.00000,     25.51294,    -13.37951
    119.72523,   -293.00000,     25.53274,    -13.37990
    120.30925,   -214.00000,     25.55253,    -13.38028
    120.89328,   -154.00000,     25.57232,    -13.38067
    121.47730,   -135.00000,     25.59212,    -13.38105
    122.06133,   -125.00000,     25.61191,    -13.38144
    122.64535,   -103.00000,     25.63170,    -13.38182
    123.22938,    -48.00000,     25.65150,    -13.38220
    123.81340,     24.00000,     25.67129,    -13.38257
    124.39743,    119.00000,     25.69108,    -13.38295
    124.98145,    248.00000,     25.71088,    -13.38332
    125.56548,    373.41660,     25.73067,    -13.38370
    126.14951,    449.81897,     25.75047,    -13.38407
    126.73353,    425.65988,     25.77026,    -13.38444
    127.31756,    410.46124,     25.79005,    -13.38481
    127.90158,    461.10477,     25.80985,    -13.38517
    128.48561,    491.10843,     25.82964,    -13.38554
    129.06963,    519.17651,     25.84944,    -13.38590
    129.65366,    536.76971,     25.86923,    -13.38626
    130.23768,    512.49072,     25.88903,    -13.38662
    130.82171,    546.15442,     25.90882,    -13.38698
    131.40574,    606.80273,     25.92861,    -13.38734
    131.98976,    630.33185,     25.94841,    -13.38770
    132.57379,    592.27209,     25.96820,    -13.38805
    133.15781,    535.38507,     25.98800,    -13.38840
    133.74184,    504.00000,     26.00779,    -13.38876
    134.32586,    450.00000,     26.02759,    -13.38910
